,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
450,GUJARAT FORTUNEGIANTS,DABANG DELHI K.C.,26,29,13,12,12,13,0,2,1,2,1,6
451,PATNA PIRATES,TAMIL THALAIVAS,45,27,28,21,10,4,6,2,1,0,0,6
452,GUJARAT FORTUNEGIANTS,U MUMBA,39,35,21,22,12,10,4,2,2,1,0,6
453,GUJARAT FORTUNEGIANTS,HARYANA STEELERS,40,31,20,20,15,7,4,0,1,4,0,6
454,BENGALURU BULLS,BENGAL WARRIORS,31,33,25,23,3,7,2,2,1,1,1,6
455,JAIPUR PINK PANTHERS,PUNERI PALTAN,30,30,15,14,12,9,2,2,1,5,draw,6
456,U MUMBA,DABANG DELHI K.C.,39,23,18,15,15,5,4,0,2,3,0,6
457,BENGALURU BULLS,TAMIL THALAIVAS,36,22,18,13,13,9,4,0,1,0,0,6
458,BENGALURU BULLS,PATNA PIRATES,32,35,22,18,7,10,2,2,1,5,1,6
459,DABANG DELHI K.C.,HARYANA STEELERS,27,34,15,16,9,13,0,2,3,3,1,6
460,TAMIL THALAIVAS,TELUGU TITANS,31,25,13,11,15,9,2,0,1,5,0,6
461,HARYANA STEELERS,PUNERI PALTAN,33,35,19,22,10,8,4,4,0,1,1,6
462,BENGALURU BULLS,TELUGU TITANS,34,26,19,12,13,12,2,2,0,0,0,6
463,PUNERI PALTAN,GUJARAT FORTUNEGIANTS,20,35,6,13,12,14,0,4,2,4,1,6
464,BENGALURU BULLS,BENGAL WARRIORS,37,44,28,28,6,9,2,6,1,1,1,6
465,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,48,35,31,29,9,4,6,2,2,0,0,6
466,TAMIL THALAIVAS,PATNA PIRATES,35,35,25,22,8,7,2,4,0,2,draw,6
467,DABANG DELHI K.C.,U MUMBA,34,41,20,27,8,10,4,4,2,0,1,6
468,U MUMBA,GUJARAT FORTUNEGIANTS,36,26,14,15,17,8,4,0,1,3,0,6
469,DABANG DELHI K.C.,PUNERI PALTAN,35,24,17,17,13,7,4,0,1,0,0,6
470,PATNA PIRATES,GUJARAT FORTUNEGIANTS,27,45,13,22,13,17,0,6,1,0,1,6
471,DABANG DELHI K.C.,TELUGU TITANS,34,29,17,21,9,6,4,2,4,0,0,6
472,HARYANA STEELERS,BENGAL WARRIORS,35,33,19,24,10,6,2,2,4,1,0,6
473,DABANG DELHI K.C.,BENGALURU BULLS,32,31,18,24,10,5,4,0,0,2,0,6
474,U.P. YODDHA,HARYANA STEELERS,30,29,19,22,9,5,2,0,0,2,0,6
475,DABANG DELHI K.C.,TAMIL THALAIVAS,37,33,18,24,10,4,4,2,5,3,0,6
476,TELUGU TITANS,GUJARAT FORTUNEGIANTS,27,29,16,20,6,5,2,2,3,2,1,6
477,PATNA PIRATES,PUNERI PALTAN,53,36,33,28,12,6,6,0,2,2,0,6
478,U MUMBA,BENGAL WARRIORS,31,20,15,10,13,8,2,0,1,2,0,6
479,TELUGU TITANS,JAIPUR PINK PANTHERS,36,26,21,19,10,7,4,0,1,0,0,6
480,TAMIL THALAIVAS,JAIPUR PINK PANTHERS,24,37,16,18,7,15,0,4,1,0,1,6
481,TELUGU TITANS,HARYANA STEELERS,35,31,18,20,15,7,2,2,0,2,0,6
482,DABANG DELHI K.C.,U MUMBA,19,44,11,23,8,15,0,6,0,0,1,6
